model,MAE,RMSE,R2_test,R2_cv_mean,R2_cv_std
Ridge,0.4661601898443286,0.6185760977777474,0.6144502942366294,0.6131157862423728,0.012841652160997712
LinearRegression,0.4661590727741015,0.6185765136116006,0.614449775869773,0.6131156393909352,0.01284319926272142
SGDRegressor,0.46738505177614076,0.6199914146768207,0.6126839819762606,0.6101248357300211,0.014416062893203936
