k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,124725.72619477213,0.6764207763388159,3379.8156498575245,0.8257136060074831
3,102800.33665789646,0.25587165607209544,3697.282667788579,1.3779423473207189
4,92940.75733425921,0.18260891586285943,3272.2872484706945,1.4726372748243697
5,84214.80383254401,0.1859486691598827,3108.3900305730385,1.262677293226719
6,76343.62890814431,0.19336943918690067,3061.3394978924516,1.2272439328060079
7,69485.89311669375,0.20298509549189359,3056.6719173388983,1.192615439896093
8,64975.971177113395,0.19254136560882165,2954.76916688497,1.2618009105102326
9,61205.10100510249,0.19291118563063653,2863.4338143586265,1.1288876256789229
10,57950.067792229085,0.17700667827973657,2784.440887662303,1.223178417583148
