svd_1,svd_2,cluster,cluster_label,reason,title,members,popularity,score
-0.390778872775664,-0.6004369191482859,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Gokujou!! Mecha Mote Iinchou Second Collection,1886,8086,6.49
-0.3756948962160156,-0.6892295028271045,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars,1489,8647,6.49
0.1445132182473826,-1.6478197828507661,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa,4561,5975,6.49
-0.4648014542516153,0.10433484758504122,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Gall Force 2: Destruction,2158,7768,6.49
-0.802701467932681,0.2573099956638836,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Future Card Buddyfight Triple D,2170,7756,6.49
-0.11244163859053125,-0.12002181952677664,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Feng Yun Jue,2029,7921,6.49
0.9399661586675389,-1.6930836289855535,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,50608,1883,6.49
-0.2929882009454273,-0.9387464237993957,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,1262,9035,6.49
-0.3701478549337425,0.07411924876201867,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Doraemon: It's Spring!,866,9835,6.49
-0.5254681501556044,-0.13358995522984476,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Dog Days'': Gravure Talk,2927,7076,6.49
-0.8042343061836683,0.5083463850368855,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Crystal Clear,706,10251,6.49
-0.5741605225275797,0.27885184458880585,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Comic Party Specials,3149,6894,6.49
-0.5878418281353612,-0.5224430867782512,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,Cinderella Girls Gekijou: Kayou Cinderella Theater,3629,6538,6.49
1.3190439924044521,-1.075697150274408,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog,ChäoS;Child,93639,1167,6.49
