Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,MCC,Cohen Kappa
Logistic Regression,0.899119295436349,0.38006756756756754,0.9533898305084746,0.5434782608695652,0.9479360267247247,0.691354827726188,0.5653892768300769,0.49829265217003205
Decision Tree,0.9951961569255404,0.9658119658119658,0.9576271186440678,0.9617021276595744,0.9784871034858966,0.9751233730459005,0.9591494198772997,0.9591395347991872
KNN,0.9861222311182279,0.8931623931623932,0.885593220338983,0.8893617021276595,0.9554764927660766,0.9228263927126911,0.8819677457235449,0.8819586560865409
Gradient Boosting,0.9962636776087537,0.9868421052631579,0.9533898305084746,0.9698275862068966,0.9911700032343868,0.9802400925150603,0.9680002551599619,0.9678367521115984
