uid,title,score,members,popularity,cluster,cluster_label,reason
1779,Bakunyuu Shimai,6.3,3407,6699,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4563,Bakukyuu Hit! Crash B-Daman,6.3,1248,9049,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1821,Guren,6.26,4346,6080,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9904,Inyouchuu Etsu,6.26,4086,6233,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
7458,Watashi no Shiranai Mesu no Kao,6.26,3704,6483,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
31319,12-sai. 2nd Season,6.3,3229,6850,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1273,Injuu Gakuen La☆Blue Girl: Fukkatsu-hen,6.25,3719,6469,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
19029,Yuyushiki: Nyanyashiki,6.31,10162,4313,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
12665,"Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal",6.31,19056,3266,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2806,Yadamon,6.31,777,10032,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
31994,Yami Shibai 3,6.31,22548,3014,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
27405,Zou no Senaka: Tabidatsu Hi,6.31,321,12004,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3308,Heartwork: Symphony of Destruction,6.25,3363,6739,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3905,Wanpaku Ouji no Orochi Taiji,6.31,1415,8771,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4088,Wonder 3,6.31,548,10783,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
25069,Tom Sawyer no Bouken Specials,6.31,360,11758,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
