k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,102280.79809164605,0.7182333772069076,2777.3923874105335,0.8160869751487032
3,86306.37504271607,0.2661319738967164,3074.9833879393277,1.3946075922770467
4,77007.62781759718,0.19948310494370255,2919.0014874050908,1.3456950225517903
5,68542.20728492521,0.20255182218360354,2936.317316218077,1.1786167406700394
6,60507.88573450224,0.2219569867198232,3070.8722932391374,1.0825231018083339
7,55356.149091266845,0.22771511748152598,3036.5386524024793,1.007302321203303
8,51299.67999825848,0.2233692017107701,2982.8134902762445,1.0962422974115598
9,47642.96881764003,0.2251642720203773,2958.199883006257,1.0265418623144085
10,44614.126991424935,0.23472161258123891,2924.3020201156137,1.0390180782698175
